"ndvi","evi","doy","site","veg"
0.570493757724762,0.228420346975327,208.467939814815,"Shrub6","s"
0.577200949192047,0.244037657976151,208.467939814815,"Shrub7","s"
0.572556495666504,0.241274863481522,208.467939814815,"Shrub8","s"
0.560600519180298,0.203769266605377,208.467939814815,"Shrub9","s"
0.58730161190033,0.251501083374023,208.467939814815,"Shrub10","s"
0.550106585025787,0.229007631540298,208.467939814815,"Shrub11","s"
0.557900428771973,0.234280914068222,208.467939814815,"Shrub13","s"
0.543951272964478,0.215969040989876,208.467939814815,"Shrub14","s"
0.60237067937851,0.257431656122208,208.467939814815,"Shrub15","s"
0.458528965711594,0.146731108427048,208.467939814815,"Forest1","f"
0.517863571643829,0.179680451750755,208.467939814815,"Forest2","f"
0.500186800956726,0.168283730745316,208.467939814815,"Forest3","f"
0.479387521743774,0.153995558619499,208.467939814815,"Forest4","f"
0.467286109924316,0.150326311588287,208.467939814815,"Forest5","f"
0.440332651138306,0.137908577919006,208.467939814815,"Forest6","f"
0.476343214511871,0.151248946785927,208.467939814815,"Forest7","f"
0.463529407978058,0.1477130651474,208.467939814815,"Forest8","f"
0.505050480365753,0.167039290070534,208.467939814815,"Forest9","f"
0.479069769382477,0.156336963176727,208.467939814815,"Forest10","f"
0.471892327070236,0.150061681866646,208.467939814815,"Forest11","f"
NA,NA,208.467939814815,"Forest12","f"
NA,NA,208.467939814815,"Forest13","f"
0.545264601707458,0.197682350873947,208.467939814815,"Forest14","f"
0.525900542736053,0.187545880675316,208.467939814815,"Forest15","f"
0.626499474048615,0.272203922271729,208.467939814815,"FP1","fp"
0.658862888813019,0.301691651344299,208.467939814815,"FP2","fp"
0.638743460178375,0.286317765712738,208.467939814815,"FP3","fp"
0.646233737468719,0.293292462825775,208.467939814815,"FP4","fp"
0.637325882911682,0.27473583817482,208.467939814815,"FP5","fp"
0.495720386505127,0.169252127408981,208.467939814815,"FP6","fp"
0.605769217014313,0.246478870511055,208.467939814815,"FP7","fp"
0.58692592382431,0.245070353150368,208.467939814815,"FP8","fp"
0.653039813041687,0.295877665281296,208.467939814815,"FP9","fp"
0.650623857975006,0.298802465200424,208.467939814815,"FP10","fp"
0.616639971733093,0.24797323346138,219.463229166667,"ForestShrub2","fs"
0.644004106521606,0.258155524730682,219.463229166667,"ForestShrub1","fs"
0.648771047592163,0.268908023834229,219.463229166667,"Shrub1","s"
0.570061504840851,0.217629566788673,219.463229166667,"Shrub2","s"
0.596497118473053,0.234209686517715,219.463229166667,"Shrub3","s"
0.642248749732971,0.260107636451721,219.463229166667,"Shrub4","s"
0.675752222537994,0.274715781211853,219.463229166667,"Shrub5","s"
0.618248164653778,0.235147133469582,219.463229166667,"Shrub6","s"
0.633193850517273,0.250303238630295,219.463229166667,"Shrub7","s"
0.638164401054382,0.261867344379425,219.463229166667,"Shrub8","s"
0.650033295154572,0.266633927822113,219.463229166667,"Shrub9","s"
0.617279767990112,0.246988609433174,219.463229166667,"Shrub10","s"
0.583561658859253,0.224683538079262,219.463229166667,"Shrub11","s"
0.612320065498352,0.245972186326981,219.463229166667,"Shrub13","s"
0.617452025413513,0.241402834653854,219.463229166667,"Shrub14","s"
0.657416939735413,0.26543653011322,219.463229166667,"Shrub15","s"
0.561809062957764,0.169291332364082,219.463229166667,"Forest1","f"
0.601818203926086,0.197229251265526,219.463229166667,"Forest2","f"
0.583081543445587,0.178115487098694,219.463229166667,"Forest3","f"
